"episode_overall","aired_date","year","season","episode","title","directed_by","written_by","us_viewers_millions"
1,2011-01-09,2011,1,1,"Human Flesh","Anthony Chun","Loren Bouchard & Jim Dauterive",9.38
2,2011-01-16,2011,1,2,"Crawl Space","Kyounghee Lim","Loren Bouchard & Jim Dauterive",5.07
3,2011-01-23,2011,1,3,"Sacred Cow","Jennifer Coyle","Nora Smith",4.81
4,2011-02-13,2011,1,4,"Sexy Dance Fighting","Anthony Chun","Steven Davis & Kelvin Yu",4.19
5,2011-02-20,2011,1,5,"Hamburger Dinner Theater","Wes Archer","Dan Fybel & Rich Rinaldi",4.87
6,2011-03-06,2011,1,6,"Sheesh! Cab, Bob?","Jennifer Coyle","Jon Schroeder",4.91
7,2011-03-13,2011,1,7,"Bed & Breakfast","Boohwan Lim","Holly Schlesinger",4.1
8,2011-03-20,2011,1,8,"Art Crawl","Kyounghee Lim","Lizzie Molyneux & Wendy Molyneux",4.43
9,2011-03-27,2011,1,9,"Spaghetti Western and Meatballs","Wes Archer","Kit Boss",4.65
10,2011-04-10,2011,1,10,"Burger War","Boohwan Lim","Loren Bouchard",4
11,2011-05-08,2011,1,11,"Weekend at Mort's","Anthony Chun","Scott Jacobson",4.26
12,2011-05-15,2011,1,12,"Lobsterfest","Boohwan Lim","Aron Abrams & Greg Thompson",4.68
13,2011-05-22,2011,1,13,"Torpedo","Kyounghee Lim","Dan Fybel & Rich Rinaldi",4.31
14,2012-03-11,2012,2,1,"The Belchies","Boohwan Lim & Kyounghee Lim","Jon Schroeder",4.04
15,2012-03-18,2012,2,2,"Bob Day Afternoon","Wes Archer","Dan Fybel & Rich Rinaldi",4.4
16,2012-03-25,2012,2,3,"Synchronized Swimming","Anthony Chun","Holly Schlesinger",3.97
17,2012-04-01,2012,2,4,"Burgerboss","Jennifer Coyle","Scott Jacobson",3.66
18,2012-04-15,2012,2,5,"Food Truckin'","Bernard Derriman","Lizzie Molyneux & Wendy Molyneux",3.9
19,2012-04-29,2012,2,6,"Dr. Yap","Anthony Chun","Steven Davis & Kelvin Yu",3.92
20,2012-05-06,2012,2,7,"Moody Foodie","Boohwan Lim & Kyounghee Lim","Steven Davis & Kelvin Yu",3.72
21,2012-05-13,2012,2,8,"Bad Tina","Jennifer Coyle","Holly Schlesinger",3.69
22,2012-05-20,2012,2,9,"Beefsquatch","Wes Archer","Nora Smith",3.57
23,2012-09-30,2012,3,1,"Ear-sy Rider","Anthony Chun","Dan Fybel & Rich Rinaldi",5.46
24,2012-10-07,2012,3,2,"Full Bars","Boohwan Lim & Kyounghee Lim","Steven Davis & Kelvin Yu",4.89
25,2012-11-04,2012,3,3,"Bob Fires the Kids","Boohwan Lim & Kyounghee Lim","Lizzie Molyneux & Wendy Molyneux",3.92
26,2012-11-11,2012,3,4,"Mutiny on the Windbreaker","John Rice","Kit Boss",4.89
27,2012-11-18,2012,3,5,"An Indecent Thanksgiving Proposal","Tyree Dillihay","Lizzie Molyneux & Wendy Molyneux",3.94
28,2012-11-25,2012,3,6,"The Deepening","Bernard Derriman","Greg Thompson",4.66
29,2012-12-02,2012,3,7,"Tinarannosaurus Wrecks","Wes Archer","Jon Schroeder",3.97
